C000000,Find a Latin term that matches the following description: **head of Roman family**,paterfamilias
C000001,Write a description for the Latin term **paterfamilias**.,head of Roman family
C000002,Find a Latin term that matches the following description: **people who shared common lineage through males to a common ancestor**,agnati
C000003,Write a description for the Latin term **agnati**.,people who shared common lineage through males to a common ancestor
C000004,Find a Latin term that matches the following description: **people who were related by blood> through males or females**,cognati
C000005,Write a description for the Latin term **cognati**.,people who were related by blood> through males or females
C000006,Find a Latin term that matches the following description: **people who were related by marriage only**,adfines
C000007,Write a description for the Latin term **adfines**.,people who were related by marriage only
C000008,Find a Latin term that matches the following description: **power of paterfamilias over his descendants**,patria potestas
C000009,Write a description for the Latin term **patria potestas**.,power of paterfamilias over his descendants
C000010,Find a Latin term that matches the following description: **power of paterfamilias over his descendants**,patria maiestas
C000011,Write a description for the Latin term **patria maiestas**.,power of paterfamilias over his descendants
C000012,Find a Latin term that matches the following description: **power of paterfamilias over his descendants**,patrium ius
C000013,Write a description for the Latin term **patrium ius**.,power of paterfamilias over his descendants
C000014,Find a Latin term that matches the following description: **power of paterfamilias over his descendants**,imperium paternum
C000015,Write a description for the Latin term **imperium paternum**.,power of paterfamilias over his descendants
C000016,Find a Latin term that matches the following description: **power of paterfamilias over his property and slaves**,dominica potestas
C000017,Write a description for the Latin term **dominica potestas**.,power of paterfamilias over his property and slaves
C000018,Find a Latin term that matches the following description: **authority of paterfamilias over his wife**,manus
C000019,Write a description for the Latin term **manus**.,authority of paterfamilias over his wife
C000020,Find a Latin term that matches the following description: **process by which sons of paterfamilias become heads of new houses**,emancipatio
C000021,Write a description for the Latin term **emancipatio**.,process by which sons of paterfamilias become heads of new houses
C000022,Find a Latin term that matches the following description: **process of one paterfamilias adopting another paterfamilias**,adrogatio
C000023,Write a description for the Latin term **adrogatio**.,process of one paterfamilias adopting another paterfamilias
C000024,Find a Latin term that matches the following description: **personal name**,praenomen
C000025,Write a description for the Latin term **praenomen**.,personal name
C000026,Find a Latin term that matches the following description: **family name**,gensnomen
C000027,Write a description for the Latin term **gensnomen**.,family name
C000028,Find a Latin term that matches the following description: **clan**,gens
C000029,Write a description for the Latin term **gens**.,clan
C000030,Find a Latin term that matches the following description: **branch of family> typically descriptive of some ancestor**,cognomen
C000031,Write a description for the Latin term **cognomen**.,branch of family> typically descriptive of some ancestor
C000032,Find a Latin term that matches the following description: **marriage ritual among patricians**,confarreatio
C000033,Write a description for the Latin term **confarreatio**.,marriage ritual among patricians
C000034,Find a Latin term that matches the following description: **small covered basket of utensils**,cumerus
C000035,Write a description for the Latin term **cumerus**.,small covered basket of utensils
C000036,Find a Latin term that matches the following description: **spelt cake offered to Jupiter during confarreatio**,Farreum libum
C000037,Write a description for the Latin term **Farreum libum**.,spelt cake offered to Jupiter during confarreatio
C000038,Find a Latin term that matches the following description: **matron who brought the bride and groom together during confarreatio**,pronuba
C000039,Write a description for the Latin term **pronuba**.,matron who brought the bride and groom together during confarreatio
C000040,Find a Latin term that matches the following description: **marriage ritual among plebeians> represented a fictitious sale of bride for 1 coin (5 witnesses)**,coemptio
C000041,Write a description for the Latin term **coemptio**.,marriage ritual among plebeians> represented a fictitious sale of bride for 1 coin (5 witnesses)
C000042,Find a Latin term that matches the following description: **common-law marriage practiced among lower classes**,usus
C000043,Write a description for the Latin term **usus**.,common-law marriage practiced among lower classes
C000044,Find a Latin term that matches the following description: **marriage practiced by slaves**,contubernium
C000045,Write a description for the Latin term **contubernium**.,marriage practiced by slaves
C000046,Find a Latin term that matches the following description: **woman's wedding dress> fastened by the nodus Herculeanus (knot of Hercules)**,tunica recta (or tunica regilla)
C000047,Write a description for the Latin term **tunica recta (or tunica regilla)**.,woman's wedding dress> fastened by the nodus Herculeanus (knot of Hercules)
C000048,Find a Latin term that matches the following description: **donated by a bride to the Lares of her father's house the night before her wedding**,bulla
C000049,Write a description for the Latin term **bulla**.,donated by a bride to the Lares of her father's house the night before her wedding
C000050,Find a Latin term that matches the following description: **bright orange bridal veil (flame colored)**,flammeum
C000051,Write a description for the Latin term **flammeum**.,bright orange bridal veil (flame colored)
C000052,Find a Latin term that matches the following description: **ribbons which held six locks of carefully braided hair divided by a spear**,vittae
C000053,Write a description for the Latin term **vittae**.,ribbons which held six locks of carefully braided hair divided by a spear
C000054,Find a Latin term that matches the following description: **words spoken at wedding ceremony **,Quando tu Gaius> ego Gaia (when/where you are Gaius> I am Gaia)
C000055,Write a description for the Latin term **Quando tu Gaius> ego Gaia (when/where you are Gaius> I am Gaia)**.,words spoken at wedding ceremony
C000056,Find a Latin term that matches the following description: **an unfavorable month for marriages (as well as first half of June)**,May
C000057,Write a description for the Latin term **May**.,an unfavorable month for marriages (as well as first half of June)
C000058,Find a Latin term that matches the following description: **a lawfully made promise of future marriage**,Sponsalia
C000059,Write a description for the Latin term **Sponsalia**.,a lawfully made promise of future marriage
C000060,Find a Latin term that matches the following description: **guardian spirit that entered the world with boys**,Genius
C000061,Write a description for the Latin term **Genius**.,guardian spirit that entered the world with boys
C000062,Find a Latin term that matches the following description: **guardian spirit that entered the world with girls**,Iuno
C000063,Write a description for the Latin term **Iuno**.,guardian spirit that entered the world with girls
C000064,Find a Latin term that matches the following description: **amulet worn during boyhood> and by triumphing generals to protect against envy**,bulla
C000065,Write a description for the Latin term **bulla**.,amulet worn during boyhood> and by triumphing generals to protect against envy
C000066,Find a Latin term that matches the following description: **slave who accompanied child to school**,paedogogus
C000067,Write a description for the Latin term **paedogogus**.,slave who accompanied child to school
C000068,Find a Latin term that matches the following description: **schoolteacher**,grammaticus
C000069,Write a description for the Latin term **grammaticus**.,schoolteacher
C000070,Find a Latin term that matches the following description: **slave dealer**,mango
C000071,Write a description for the Latin term **mango**.,slave dealer
C000072,Find a Latin term that matches the following description: **slave trader**,venalicius
C000073,Write a description for the Latin term **venalicius**.,slave trader
C000074,Find a Latin term that matches the following description: **slave who remained the property of his first master**,verna
C000075,Write a description for the Latin term **verna**.,slave who remained the property of his first master
C000076,Find a Latin term that matches the following description: **scroll hung from neck of slave providing information at sale**,titulus
C000077,Write a description for the Latin term **titulus**.,scroll hung from neck of slave providing information at sale
C000078,Find a Latin term that matches the following description: **slave who managed a familia rustica (group of slaves working on a farm)**,vilicus
C000079,Write a description for the Latin term **vilicus**.,slave who managed a familia rustica (group of slaves working on a farm)
C000080,Find a Latin term that matches the following description: **property held by a slave**,peculium
C000081,Write a description for the Latin term **peculium**.,property held by a slave
C000082,Find a Latin term that matches the following description: **slave owned by another slave**,vicarius
C000083,Write a description for the Latin term **vicarius**.,slave owned by another slave
C000084,Find a Latin term that matches the following description: **small gift basket given to patrons by their clients during salutatio**,sportula
C000085,Write a description for the Latin term **sportula**.,small gift basket given to patrons by their clients during salutatio
C000086,Find a Latin term that matches the following description: **cap worn by slaves during auctions**,pilleus
C000087,Write a description for the Latin term **pilleus**.,cap worn by slaves during auctions
C000088,Find a Latin term that matches the following description: **freedman **,libertus/liberta
C000089,Write a description for the Latin term **libertus/liberta**.,freedman
C000090,Find a Latin term that matches the following description: **apartment building**,insula
C000091,Write a description for the Latin term **insula**.,apartment building
C000092,Find a Latin term that matches the following description: **main reception hall**,atrium
C000093,Write a description for the Latin term **atrium**.,main reception hall
C000094,Find a Latin term that matches the following description: **study**,tablinum
C000095,Write a description for the Latin term **tablinum**.,study
C000096,Find a Latin term that matches the following description: **lets rainwater in**,compluvium
C000097,Write a description for the Latin term **compluvium**.,lets rainwater in
C000098,Find a Latin term that matches the following description: **shallow pool that collects rainwater**,impluvium
C000099,Write a description for the Latin term **impluvium**.,shallow pool that collects rainwater
C000100,Find a Latin term that matches the following description: **alcoves on either side of the atrium**,alae
