GMDR000000,What Greek medical root comes from the Greek **νᾶνος (nânos)> dwarf**?,nan(o)-> nano- (meaning **dwarf> small**)
GMDR000001,What does the Greek medical root **nan(o)-** mean?,dwarf> small
GMDR000002,What Greek medical root comes from the Greek **νάρκη (nárkē)> numbess> torpor**?,narc(o)-> narco- (meaning **numb> sleep**)
GMDR000003,What does the Greek medical root **narc(o)-** mean?,numb> sleep
GMDR000004,What Greek medical root comes from the Greek **νεκρός (nekrós)> dead body> corpse> dying person**?,necr(o)-> necro- (meaning **death**)
GMDR000005,What does the Greek medical root **necr(o)-** mean?,death
GMDR000006,What Greek medical root comes from the Greek **νέος (néos)> young> youthful> new> fresh**?,neo- (meaning **new**)
GMDR000007,What does the Greek medical root **neo-** mean?,new
GMDR000008,What Greek medical root comes from the Greek **νεφρός (nephrós)> kidney**?,nephr(o)-> nephro- (meaning **of or pertaining to the kidney**)
GMDR000009,What does the Greek medical root **nephr(o)-** mean?,of or pertaining to the kidney
GMDR000010,What Greek medical root comes from the Greek **νεῦρον (neûron)> tendon> sinew> nerve**?,neur- (meaning **of or pertaining to nerves and the nervous system**)
GMDR000011,What does the Greek medical root **neur-** mean?,of or pertaining to nerves and the nervous system
GMDR000012,What Greek medical root comes from the Greek **ὀδούς/ὀδοντ- (odoús/odont-)> tooth**?,odont- (meaning **of or pertaining to teeth**)
GMDR000013,What does the Greek medical root **odont-** mean?,of or pertaining to teeth
GMDR000014,What Greek medical root comes from the Greek **ὀδύνη (odúnē)**?,odyn- (meaning **pain**)
GMDR000015,What does the Greek medical root **odyn-** mean?,pain
GMDR000016,What Greek medical root comes from the Greek **-ειδής (-eidḗs)> like> connected to> pertaining to**?,-oid (meaning **resemblance to**)
GMDR000017,What does the Greek medical root **-oid** mean?,resemblance to
GMDR000018,What Greek medical root comes from the Greek **ὀλῐ́γος (olígos)> few**?,olig- (meaning **having little> having few**)
GMDR000019,What does the Greek medical root **olig-** mean?,having little> having few
GMDR000020,What Greek medical root comes from the Greek **ὦμος (ômos)> shoulder**?,om(o)-> omo- (meaning **shoulder**)
GMDR000021,What does the Greek medical root **om(o)-** mean?,shoulder
GMDR000022,What Greek medical root comes from the Greek **-μα (-ma)> suffix added to verbs to form nouns indicating the result of a process or action; cf. English -tion**?,-oma (singular)> -omata (plural) (meaning **tumor> mass> fluid collection**)
GMDR000023,What does the Greek medical root **-oma (singular)> -omata (plural)** mean?,tumor> mass> fluid collection
GMDR000024,What Greek medical root comes from the Greek **ὀμφαλός (omphalós)> navel> belly-button**?,omphal(o)-> omphalo- (meaning **of or pertaining to the navel> the umbilicus**)
GMDR000025,What does the Greek medical root **omphal(o)-** mean?,of or pertaining to the navel> the umbilicus
GMDR000026,What Greek medical root comes from the Greek **ὄγκος (ónkos)**?,onco- (meaning **tumor> bulk> volume**)
GMDR000027,What does the Greek medical root **onco-** mean?,tumor> bulk> volume
GMDR000028,What Greek medical root comes from the Greek **ὄνυξ/ὀνυχο- (ónux/onukho-)> nail; claw; talon**?,onych(o)-> onycho- (meaning **of or pertaining to the nail (of a finger or toe)**)
GMDR000029,What does the Greek medical root **onych(o)-** mean?,of or pertaining to the nail (of a finger or toe)
GMDR000030,What Greek medical root comes from the Greek **ᾠόν/ᾠο- (ōión/ōio-)> egg> ovum**?,oo- (meaning **of or pertaining to an (egg)> a woman's egg> the ovum**)
GMDR000031,What does the Greek medical root **oo-** mean?,of or pertaining to an (egg)> a woman's egg> the ovum
GMDR000032,What Greek medical root comes from the Greek **ὀφθαλμός (ophthalmós)> the eye**?,ophthalm(o)-> ophthalmo- (meaning **of or pertaining to the (eye)**)
GMDR000033,What does the Greek medical root **ophthalm(o)-** mean?,of or pertaining to the (eye)
GMDR000034,What Greek medical root comes from the Greek **ὄπῐσθεν (ópisthen)> behind> at the back**?,opistho- (meaning **back> behind> rear**)
GMDR000035,What does the Greek medical root **opistho-** mean?,back> behind> rear
GMDR000036,What Greek medical root comes from the Greek **ὄψῐς (ópsis)> view**?,-opsy (meaning **examination or inspection**)
GMDR000037,What does the Greek medical root **-opsy** mean?,examination or inspection
