GMDR000000,What Greek medical root comes from the Greek **ἀ-/ἀν- (a-/an-)> not> without**?,a-> an- (meaning **not> without (alpha privative)**)
GMDR000001,What does the Greek medical root **a-> an-** mean?,not> without (alpha privative)
GMDR000002,What Greek medical root comes from the Greek **-ακός (-akós)**?,-ac (meaning **pertaining to; one afflicted with**)
GMDR000003,What does the Greek medical root **-ac** mean?,pertaining to; one afflicted with
GMDR000004,What Greek medical root comes from the Greek **ἄκανθα (ákantha)> thorn**?,acanth- (meaning **thorn or spine**)
GMDR000005,What does the Greek medical root **acanth-** mean?,thorn or spine
GMDR000006,What Greek medical root comes from the Greek **ἀκούειν (akoúein)> ἀκουστικός (akoustikós)> of or for hearing**?,acou- (meaning **of or relating to hearing**)
GMDR000007,What does the Greek medical root **acou-** mean?,of or relating to hearing
GMDR000008,What Greek medical root comes from the Greek **ἄκρον (ákron)> highest or farthest point**?,acr- (meaning **extremity> topmost**)
GMDR000009,What does the Greek medical root **acr-** mean?,extremity> topmost
GMDR000010,What Greek medical root comes from the Greek **ἀκουστικός (akoustikós)> of or for hearing**?,-acusis (meaning **hearing**)
GMDR000011,What does the Greek medical root **-acusis** mean?,hearing
GMDR000012,What Greek medical root comes from the Greek **ἀδήν> ἀδέν-> (adḗn> adén-)> an acorn; a gland**?,aden- (meaning **of or relating to a gland**)
GMDR000013,What does the Greek medical root **aden-** mean?,of or relating to a gland
GMDR000014,What Greek medical root comes from the Greek **ἀναιμία (anaimía)> without blood**?,-aemia> ema> hemat (Brit.) (meaning **blood condition**)
GMDR000015,What does the Greek medical root **-aemia> ema> hemat (Brit.)** mean?,blood condition
GMDR000016,What Greek medical root comes from the Greek **ἀήρ> ἀέρος (aḗr> aéros)**?,aer(o)-> aero- (meaning **air> gas**)
GMDR000017,What does the Greek medical root **aer(o)-** mean?,air> gas
GMDR000018,What Greek medical root comes from the Greek **αἴσθησις (aísthēsis)**?,aesthesi- (Brit.) (meaning **sensation**)
GMDR000019,What does the Greek medical root **aesthesi- (Brit.)** mean?,sensation
GMDR000020,What Greek medical root comes from the Greek **ἄλγος (álgos)**?,alge(si)-> algesi- (meaning **pain**)
GMDR000021,What does the Greek medical root **alge(si)-** mean?,pain
GMDR000022,What Greek medical root comes from the Greek **ἄλλος (állos)> another> other**?,all- (meaning **denoting something as different> or as an addition**)
GMDR000023,What does the Greek medical root **all-** mean?,denoting something as different> or as an addition
GMDR000024,What Greek medical root comes from the Greek **ἄμνιον (ámnion)**?,amnio- (meaning **pertaining to the membranous fetal sac (amnion)**)
GMDR000025,What does the Greek medical root **amnio-** mean?,pertaining to the membranous fetal sac (amnion)
GMDR000026,What Greek medical root comes from the Greek **ἀμφί (amphí)**?,amph(i)-> amphi- (meaning **on both sides**)
GMDR000027,What does the Greek medical root **amph(i)-** mean?,on both sides
GMDR000028,What Greek medical root comes from the Greek **ἀνα- (ana-)**?,ana- (meaning **back> again> up**)
GMDR000029,What does the Greek medical root **ana-** mean?,back> again> up
GMDR000030,What Greek medical root comes from the Greek **ἀνήρ> ἀνδρ- (anḗr> andr-)> male**?,andr- (meaning **pertaining to a man**)
GMDR000031,What does the Greek medical root **andr-** mean?,pertaining to a man
GMDR000032,What Greek medical root comes from the Greek **ἀγγεῖον (angeîon)**?,angi- (meaning **blood vessel**)
GMDR000033,What does the Greek medical root **angi-** mean?,blood vessel
GMDR000034,What Greek medical root comes from the Greek **ἄνῑσος (ánīsos)> unequal**?,aniso- (meaning **describing something as unequal**)
GMDR000035,What does the Greek medical root **aniso-** mean?,describing something as unequal
GMDR000036,What Greek medical root comes from the Greek **ἀγκύλος (ankúlos)> crooked> curved**?,ankyl-> ancyl- (meaning **denoting something as crooked> bent> or stiff**)
GMDR000037,What does the Greek medical root **ankyl-> ancyl-** mean?,denoting something as crooked> bent> or stiff
GMDR000038,What Greek medical root comes from the Greek **ἄνθρωπος (ánthrōpos)> human**?,anthropo- (meaning **human**)
GMDR000039,What does the Greek medical root **anthropo-** mean?,human
GMDR000040,What Greek medical root comes from the Greek **ἀντί (antí)> against**?,anti- (meaning **describing something as 'against' or 'opposed to' another**)
GMDR000041,What does the Greek medical root **anti-** mean?,describing something as 'against' or 'opposed to' another
GMDR000042,What Greek medical root comes from the Greek **ἀπό (apó)**?,apo- (meaning **away> separated from> derived from**)
GMDR000043,What does the Greek medical root **apo-** mean?,away> separated from> derived from
GMDR000044,What Greek medical root comes from the Greek **ἀρχι- (arkhi-)**?,archi- (meaning **first> primitive**)
GMDR000045,What does the Greek medical root **archi-** mean?,first> primitive
GMDR000046,What Greek medical root comes from the Greek **ἀρσενικός (arsenikós)**?,arsen(o)-> arseno- (meaning **of or pertaining to a male; masculine**)
GMDR000047,What does the Greek medical root **arsen(o)-** mean?,of or pertaining to a male; masculine
GMDR000048,What Greek medical root comes from the Greek **ἀρτηρία (artēría)> a wind-pipe> artery (used distinctly versus a vein)**?,arteri(o)-> arterio- (meaning **of or pertaining to an artery**)
GMDR000049,What does the Greek medical root **arteri(o)-** mean?,of or pertaining to an artery
GMDR000050,What Greek medical root comes from the Greek **ἄρθρον (árthron)> a joint> limb**?,arthr- (meaning **of or pertaining to the joints> limbs**)
GMDR000051,What does the Greek medical root **arthr-** mean?,of or pertaining to the joints> limbs
GMDR000052,What Greek medical root comes from the Greek **ἀσθένεια (asthéneia)**?,-asthenia (meaning **weakness**)
GMDR000053,What does the Greek medical root **-asthenia** mean?,weakness
GMDR000054,What Greek medical root comes from the Greek **ἀτελής (atelḗs)> without end> incomplete**?,atel(o)-> atelo- (meaning **imperfect or incomplete development**)
GMDR000055,What does the Greek medical root **atel(o)-** mean?,imperfect or incomplete development
GMDR000056,What Greek medical root comes from the Greek **αὐτός> αὐτο- (autós> auto-)**?,aut- (meaning **self**)
GMDR000057,What does the Greek medical root **aut-** mean?,self
GMDR000058,What Greek medical root comes from the Greek **αὐξάνω> αὔξω (auxánō> aúxō)**?,aux(o)-> auxo- (meaning **increase; growth**)
GMDR000059,What does the Greek medical root **aux(o)-** mean?,increase; growth
GMDR000060,What Greek medical root comes from the Greek **βάλανος (bálanos)> acorn> glans**?,balan- (meaning **of the glans penis or glans clitoridis**)
GMDR000061,What does the Greek medical root **balan-** mean?,of the glans penis or glans clitoridis
GMDR000062,What Greek medical root comes from the Greek **βάσις (básis)> foundation> base**?,bas- (meaning **of or pertaining to base**)
GMDR000063,What does the Greek medical root **bas-** mean?,of or pertaining to base
GMDR000064,What Greek medical root comes from the Greek **χολή (kholḗ)> bile**?,bil(i)-> chol(e)-> bili- (meaning **of or pertaining to bile**)
GMDR000065,What does the Greek medical root **bil(i)-> chol(e)-** mean?,of or pertaining to bile
GMDR000066,What Greek medical root comes from the Greek **βίος (bíos)**?,bio- (meaning **life**)
GMDR000067,What does the Greek medical root **bio-** mean?,life
GMDR000068,What Greek medical root comes from the Greek **βλαστός (blastós)**?,blast- (meaning **germinate or bud**)
GMDR000069,What does the Greek medical root **blast-** mean?,germinate or bud
