L000000,What is Livius Andronicus' full name?,LUCIUS LIVIUS ANDRONICUS
L000001,What author was born in 284 B.C. at Tarentum?,LIVIUS ANDRONICUS
L000002,Where was Livius Andronicus born in 284 B.C.?,TARENTUM
L000003,In what year was Livius Andronicus born at Tarentum?,284 BC
L000004,In what year did Livius Andronicus die?,204 BC
L000005,What author was called the `Father of Latin Literature`?,LIVIUS ANDRONICUS
L000006,What honorific title was given to Livius Andronicus?,FATHER OF LATIN LITERATURE
L000007,In what year did Livius Andronicus come to Rome as a slave?,272 BC
L000008,What author came to Rome as a slave in 272 BC?,LIVIUS ANDRONICUS
L000009,Which work of Livius Andronicus is a Latin translation of Homer's Odyssey?,ODUSSIA
L000010,Who wrote the first Latin translation of Homer's Odyssey?,LIVIUS ANDRONICUS
L000011,What was the earliest extant work of Latin literature?,ODUSSIA
L000012,What was the purpose of Livius Andronicus' Odussia?,TEXTBOOK
L000013,For whose children did Livius Andronicus compose the Odussia as a textbook?,LIVIUS SALINATOR
L000014,In what early Italian meter was the Odussia written?,SATURNIAN
L000015,What Latin term did Livius Andronicus use to translate `Muse`?,CAMENA
L000016,Who wrote the first Roman comedy and Roman tragedy for the Ludi Romani of 240 BC?,LIVIUS ANDRONICUS
L000017,For what event in 240 BC did Livius Andronicus compose the first Roman comedy and tragedy?,LUDI ROMANI
L000018,What author was the first to produce plays in Rome?,LIVIUS ANDRONICUS
L000019,What author composed a parthenion in honor of Juno in 207 BC?,LIVIUS ANDRONICUS
L000020,What type of poem did Livius Andronicus compose in honor of Juno in 207 BC?,PARTHENION
L000021,In what year did Livius Andronicus compose a parthenion in honor of Juno?,207 BC
L000022,What author regarded Livius Andronicus' work as antiquated and not worth reading?,CICERO
L000023,What author was born in 270 BC at Capua?,GNAEUS NAEVIUS
L000024,In what year was Gnaeus Naevius born near Capua?,270 BC
L000025,Where did Gnaeus Naevius die in exile in 201 BC?,UTICA
L000026,Which author died at Utica in 201 BC?,GNAEUS NAEVIUS
L000027,In what year did Gnaeus Naevius die in exile at Utica?,201 BC
L000028,What dramatist was the first native Italian to write Latin literature?,GNAEUS NAEVIUS
L000029,What author pioneered `fabulae praetextae`> tragedies written on Roman historical material?,GNAEUS NAEVIUS
L000030,What are fabulae praetextae?,TRAGEDIES WRITTEN ON ROMAN HISTORICAL MATERIAL
L000031,Who was the first to write an epic on an entirely Italian subject?,GNAEUS NAEVIUS
L000032,What was the title of Naevius' epic on the First Punic War?,BELLUM PUNICUM
L000033,Who wrote the Bellum Punicum> the first epic on an Italian subject?,GNAEUS NAEVIUS
L000034,To what African city was Naevius exiled because of his fued with the Metelli family?,UTICA
L000035,Which author was exiled to Utica because of his fued with the Metelli family?,GNAEUS NAEVIUS
L000036,With what family did Gnaeus Naevius have a fued which got him exiled to Utica?,METELLI
L000037,Which author remarked `Fato Metelli fiunt Romae consules`?,GNAEUS NAEVIUS
L000038,Translate Naevius' remark `fato Metelli fiunt Romae consules`.,IT'S FATE THAT MAKES THE METELLI CONSULES AT ROME
L000039,Which work of Gnaeus Naevius is an epic poem about the First Punic War> written in Saturnian verse?,BELLUM PUNICUM
L000040,Whose Bellum Punicum details the events from Aeneas' arrival in Latium down to the First Punic War?,GNAEUS NAEVIUS
L000041,How many books did Naevius' Bellum Punic contain?,7; SEVEN
L000042,What grammarian arranged Naevius' Bellum Punicum into 7 Books?,LAMPADIO
L000043,What are the titles of Naevius' two fabulae praetextae?,CLASTIDIUM & ROMULUS
L000044,Who wrote a fabula praetexta entitled Clastidium?,GNAEUS NAEVIUS
L000045,Who wrote a fabula praetexta entitled Romulus?,GNAEUS NAEVIUS
L000046,What was Plautus' full name?,TITUS MACCIUS PLAUTUS
L000047,Where was Plautus born c. 254 BC?,SARSINA
L000048,Which author was born at Sarsina c. 254 BC?,PLAUTUS
L000049,In what year did Plautus die?,184 BC
L000050,What comic playwright was born at Sarsina c. 254 BC?,PLAUTUS
L000051,Which Broadway play is based on a compilation of Plautus' plays?,A FUNNY THING HAPPENED ON THE WAY TO THE FORUM
L000052,The Broadway play `A Funny Thing Happened on the Way to the Forum` is based on a compilation of which author's plays?,PLAUTUS
L000053,Varro said that if the Muses had spoken Latin they would have spoken the type that appeared in which author's plays?,PLAUTUS
L000054,Which play of Plautus deals with a clever slave who manages to steal away from the boastful soldier Pyrgopolyneices the girl loved by his young master?,MILES GLORIOSUS
L000055,What is the translation of `Miles Gloriosus`?,THE BRAGGART SOLDIER
L000056,Which play of Plautus was his longest?,MILES GLORIOSUS
L000057,In Plautus' Miles Gloriosus> what boastful soldier is swindled out of his girl?,PYRGOPOLYNEICES
L000058,Which play of Plautus deals with the slave Tranio who convinces his master's father that his house is haunted?,MOSTELLARIA
L000059,What is the translation of `Mostellaria`?,THE HAUNTED HOUSE
L000060,In Plautus' Mostellaria> what clever slave convinces his master's father that his house is haunted?,TRANIO
L000061,Which play of Plautus deals with the misfortunes of a miser named Euclio who tries to hide his fortune?,AULULARIA
L000062,What is the translation of `Aulularia`?,THE POT OF GOLD
L000063,In Plautus' Aulularia> what miser tries to hide his fortune?,EUCLIO
L000064,Which play of Plautus deals with a clever slave who tricks the pimp Ballio out of a girl his young master loves?,PSEUDOLUS
L000065,In Plautus' Pseudolus> what pimp is swindled out of one of his girls?,BALLIO
L000066,Which play of Plautus deals with twins seperated at birth?,MENAECHMI
L000067,Which play of Plautus is the primary model for Shakespeare's Comedy of Errors?,MENAECHMI
L000068,Which play of Plautus deals with the confusion over Hercules' birth?,AMPHITRUO
L000069,Which play of Plautus is the only one with a mythological subject?,AMPHITRUO
