F000000,What term refers to the assignment of human characteristics to the gods?,ANTHROPOMORPHISM
F000001,On what mountain do most of the Greek gods live?,MT. OLYMPUS
F000002,What terms refers to gods of the realm below Olympus?,CHTHONIAN
F000003,What is the food of the gods?,AMBROSIA
F000004,What do the gods drink?,NECTAR
F000005,What substance> clearer than blood> runs through the veins of the gods?,ICHOR
F000006,What bird is associated with Zeus?,EAGLE
F000007,What animal is associated with Ares?,BOAR
F000008,What bird is associated with Athena?,OWL
F000009,With which Greek deity is the dove associated?,APHRODITE
F000010,With which Greek deity is the sparrow associated?,APHRODITE
F000011,With which Greek deity is the goose associated?,APHRODITE
F000012,What one term describes the Muses> Nereids and Oceanids?,NYMPHS
F000013,What names was given to the nymphs of water> springs> lakes and rivers?,NAIADS
F000014,What name was given to the nymphs of rivers in particular?,POTOMIADS
F000015,What name was given to the nymphs of trees?,DRYADS (OR HAMADRYADS)
F000016,Who were the nymphs of ash trees?,MELIAE
F000017,What is the term for a mixed offspring of gods and mortals?,DEMIGODS
F000018,With which deity was Athens most closely associated?,ATHENA
F000019,With which deity was Argos most closely associated?,HERA
F000020,With which deity was Lemnos most closely associated?,HEPHAESTUS
F000021,With which deity were Delphi and Delos most closely associated?,APOLLO
F000022,Who wrote Works and Days?,HESIOD
F000023,Who was the Greek god of thunder> lightning and rain?,ZEUS
F000024,What Greek tragedian wrote Agamemnon?,AESCHYLUS
F000025,What philosopher proclaimed `man is the measure of all things`?,PROTAGORAS
F000026,What Greek tragedian wrote Antigone?,SOPHOCLES
F000027,Who composed the Odyssey?,HOMER
F000028,Who said he would rather be a slave on earth than king of dead souls?,ACHILLES
F000029,Who wrote the myth of Er> which appears in the Republic?,PLATO
F000030,What historian tells us the most about Croesus> Solon and Cyrus?,HERODOTUS
F000031,Who was the Greek deity of vengeance?,NEMESIS
F000032,What king of Lydia was visited by Solon in Sardis?,CROESUS
F000033,With what city was Solon associated?,ATHENS
F000034,Whom does Solon call the happiest man on Earth?,TELLUS
F000035,What brothers does Solon call the second happiest men on Earth?,CLEOBIS AND BITON
F000036,Who yoked themselves to a chariot to carry their mother?,CLEOBIS AND BITON
F000037,What brothers were rewarded for their good works with eternal sleep in a temple?,CLEOBIS AND BITON
F000038,What priestess of Hera was the mother of Cleobis and Biton?,CYDIPPE
F000039,What son of Croesus was killed in a dream?,ATYS
F000040,Who was the son of Midas?,LITYERSES
F000041,What son of Gordias came to live with Croesus> according to Herodotus?,ADRASTUS (NOT 7 AGAINST TH.)
F000042,Who guarded Croesus' son Atys while hunting a boar?,ADRASTUS
F000043,Who was told he would destroy a mighty empire if he attacked Persia?,CROESUS
F000044,What kingdom was destroyed when Croesus attacked Persia?,LYDIA
F000045,Who told Croesus he would destroy a great kingdom if he attacked Persia?,DELPHIC ORACLE
F000046,Who was the king of Persia when Croesus attacked?,CYRUS THE GREAT
F000047,What was the capital city of Lydia?,SARDIS
F000048,Whose name was called out three times by Croesus as Cyrus began to burn him?,SOLON
F000049,Who became archon of Athens in 594 BC?,SOLON
F000050,What god put out the flames before Croesus was burned alive?,APOLLO
F000051,What goddess of doom and destruction inspired the name of Croesus' son?,ATE
F000052,Who were the parents of the Oceanids?,OCEANUS AND TETHYS
F000053,Who was the eldest child of Pontus and Ge?,NEREUS
F000054,Who was the wife of Nereus?,DORIS
F000055,What type of creature was Doris?,OCEANID
F000056,Who were the parents of Doris?,OCEANUS AND TETHYS
F000057,Who were the parents of Thetis?,NEREUS AND DORIS
F000058,Who were the parents of the Nereid Galatea?,NEREUS AND DORIS
F000059,Who were the parents of Amphitrite?,NEREUS AND DORIS
F000060,Who warned Zeus that Thetis was destined to bear a son mightier than his father?,PROMETHEUS
F000061,What power did Thetis possess?,SHE COULD CHANGE SHAPE AT WILL
F000062,Who was the son of Faunus and Symaethis?,ACIS
F000063,Which of the Nereids was loved by Polyphemus?,GALATEA
F000064,Who combed his hair with a rake and cut his beard with a scythe?,POLYPHEMUS
F000065,Who was the father of Symaethis?,SYMAETHUS
F000066,Who repelled the love of Polyphemus?,GALATEA
F000067,After rejecting Polyphemus> whom did Galatea love instead?,ACIS
F000068,Who was turned into a river god after being killed by Polyphemus?,ACIS
F000069,Who was the wife of Poseidon?,AMPHITRITE
F000070,Who was the son of Amphitrite and Poseidon?,TRITON
F000071,What merman was human above the waist> fish below> and blew a conch shell?,TRITON
F000072,What old man of the sea could foretell the future?,PROTEUS
F000073,Which god was called the Earthshaker?,POSEIDON
F000074,What instrument was carried by Poseidon?,TRIDENT
F000075,Who mated with Demeter in the form of a stallion?,POSEIDON
F000076,In what form did Poseidon mate with Demeter?,STALLION
F000077,Who was the daughter of Phorcys and Hecate?,SCYLLA
F000078,Who threw magic herbs into Scylla's bathing place> transforming her into a monster?,AMPHITRITE
F000079,What monster> encircled with a ring of dog's heads> lived in a cave at the Straits of Messina?,SCYLLA
F000080,Who were the parents of Charybdis?,PONTUS AND GE
F000081,Who cast Charybdis into the sea with a thunderbolt?,ZEUS
F000082,Name the five children of Pontus and Ge.,NEREUS> THAUMUS> PHORCYS> CETO> EURYBIE
F000083,Who was the consort of Thaumus?,ELECTRA
F000084,Who was the sister of the Harpies?,IRIS
F000085,Who was the goddess of the rainbow?,IRIS
