P000000,What is the Latin motto of *Amherst College*?,TERRAS IRRADIENT. (`LET THEM ILLUMINATE THE EARTH.`)
P000001,What is the Latin motto of *Baylor University*?,PRO ECCLESIA> PRO TEXANA (`FOR CHURCH> FOR TEXAS`)
P000002,What is the Latin motto of *Brooklyn College*?,NIL SINE MAGNO LABORE. (`NOTHING WITHOUT GREAT EFFORT.`)
P000003,What is the Latin motto of *Brown University*?,IN DEO SPERAMUS. (`IN GOD WE TRUST.`)
P000004,What is the Latin motto of *Catholic University of America*?,DEUS LUX MEA (`GOD IS MY LIGHT`)
P000005,What is the Latin motto of *City College of NY*?,RESPICE> ADSPICE> PROSPICE. (`LOOK BACK> LOOK TO THE PRESENT> LOOK TO THE FUTURE.`)
P000006,What is the Latin motto of *Columbia University*?,IN LUMINE TUO VIDEBIMUS LUMEN. (`IN THY LIGHT> WE SHALL SEE LIGHT.`)
P000007,What is the Latin motto of *Dartmouth College*?,VOX CLAMANTIS IN DESERTO. (`A VOICE OF ONE CRYING IN THE WILDERNESS.`)
P000008,What is the Latin motto of *Fordham University*?,SAPIENTIA ET DOCTRINA. (`WISDOM AND KNOWLEDGE.`)
P000009,What is the Latin motto of *George Washington University*?,DEUS NOBIS FIDUCIA (`GOD IS OUR TRUST`)
P000010,What is the Latin motto of *Harvard University*?,VERITAS. (`TRUTH.`)
P000011,What is the Latin motto of *Hunter College*?,MIHI CURA FUTURI. (`MY ANXIETY IS FOR THE FUTURE.`)
P000012,What is the Latin motto of *Indiana University Bloomington*?,LUX ET VERITAS (`LIGHT AND TRUTH`)
P000013,What is the Latin motto of *Johns Hopkins University*?,VERITAS VOS LIBERABIT. (`TRUTH WILL FREE YOU.`)
P000014,What is the Latin motto of *Miami University of Ohio*?,PRODESSE QUAM CONSPICI. (`TO THE PRODUCTIVE> RATHER THAN TO BE ORNAMENTAL.`)
P000015,What is the Latin motto of *New York University*?,PERSTARE ET PRAESTARE. (`TO PRESERVE AND TO SURPASS`)
P000016,What is the Latin motto of *Northwestern University*?,QUAECUM SUNT VERA (`WHATEVER IS TRUE`)
P000017,What is the Latin motto of *Notre Dame University*?,CRUX SPES UNICA (`THE CROSS IS THE ONLY HOPE`)
P000018,What is the Latin motto of *Oxford University*?,DOMINUS ILLUMINATIO MEA (`THE LORD IS MY LIGHT`)
P000019,What is the Latin motto of *Princeton University*?,DEI SUB NUMINE VIGET (`IT FLOURISHES UNDER THE WILL OF GOD`)
P000020,What is the Latin motto of *The Jesuit*?,AD MAIOREM DEI GLORIAM (`FOR THE GREATER GLORY OF GOD`)
P000021,What is the Latin motto of *Trinity College*?,PRO ECCLESIA ET PATRIA. (`FOR CHURCH AND COUNTRY.`)
P000022,What is the Latin motto of *Tulane University*?,NON SIBI> SED SUIS. (`NOT FOR HERSELF> BUT FOR HER OWN.`)
P000023,What is the Latin motto of *Tufts University*?,PAX ET LUX (`PEACE AND LIGHT`)
P000024,What is the Latin motto of *Univ. Florida*?,CIVIUM IN MORIBUS REI PUBLIAE SALUS. (`IN THE CHARACTER OF ITS CITIZENS LIES THE WELFARE OF THE STATE.`)
P000025,What is the Latin motto of *University of Chicago*?,CRESCAT SCIENTIA> VITA EXCOLATUR (`LET KNOWLEDGE INCREASE> LET LIFE BE PERFECTED`)
P000026,What is the Latin motto of *University of California*?,FIAT LUX (`LET THERE BE LIGHT`)
P000027,What is the Latin motto of *University of Georgia*?,ET DOCERE ET RERUM EXQUIRERE CAUSAS (`BOTH TO TEACH & TO INQUIRE INTO THE CAUSES OF THINGS`)
P000028,What is the Latin motto of *University of Michigan*?,ARTES> SCIENTIA> VERITAS. (`THE ARTS> KNOWLEDGE> TRUTH.`)
P000029,What is the Latin motto of *University of Mississippi*?,VIRTUTE ET ARMIS. (`BY VALOR AND ARMS.`)
