T000000,Give the English translation for the following Latin phrase *a bene placito*?,FROM ONE WELL PLEASED
T000001,Give the English translation for the following Latin phrase *a capite ad calcem*?,FROM HEAD TO HEEL
T000002,Give the English translation for the following Latin phrase *a contrario*?,FROM THE OPPOSITE
T000003,Give the English translation for the following Latin phrase *a Deucalione*?,FROM OR SINCE DEUCALION
T000004,Give the English translation for the following Latin phrase *a falsis principiis proficisci*?,TO SET FORTH FROM FALSE PRINCIPLES
T000005,Give the English translation for the following Latin phrase *a fortiori*?,FROM THE STRONGER
T000006,Give the English translation for the following Latin phrase *a maiore ad minus*?,FROM THE GREATER TO THE SMALLER
T000007,Give the English translation for the following Latin phrase *a minore ad maius*?,FROM THE SMALLER TO THE GREATER
T000008,Give the English translation for the following Latin phrase *a pedibus usque ad caput*?,FROM FEET TO HEAD
T000009,Give the English translation for the following Latin phrase *a posse ad esse*?,FROM BEING ABLE TO BEING
T000010,Give the English translation for the following Latin phrase *a posteriori*?,FROM THE LATTER
T000011,Give the English translation for the following Latin phrase *a priori*?,FROM THE FORMER
T000012,Give the English translation for the following Latin phrase *a solis ortu usque ad occasum*?,FROM SUNRISE TO SUNSET
T000013,Give the English translation for the following Latin phrase *ab absurdo*?,FROM THE ABSURD
T000014,Give the English translation for the following Latin phrase *ab abusu ad usum non valet consequentia*?,THE INFERENCE OF A USE FROM ITS ABUSE IS NOT VALID
T000015,Give the English translation for the following Latin phrase *ab aeterno*?,FROM THE ETERNAL
T000016,Give the English translation for the following Latin phrase *ab antiquo*?,FROM THE ANCIENT
T000017,Give the English translation for the following Latin phrase *ab epistulis*?,FROM THE LETTERS
T000018,Give the English translation for the following Latin phrase *ab extra*?,FROM BEYOND/WITHOUT
T000019,Give the English translation for the following Latin phrase *ab hinc*?,FROM HERE ON
T000020,Give the English translation for the following Latin phrase *ab imo pectore*?,FROM THE DEEPEST CHEST
T000021,Give the English translation for the following Latin phrase *ab inconvenienti*?,FROM AN INCONVENIENT THING
T000022,Give the English translation for the following Latin phrase *ab incunabulis*?,FROM THE CRADLE
T000023,Give the English translation for the following Latin phrase *ab initio*?,FROM THE BEGINNING
T000024,Give the English translation for the following Latin phrase *ab intestato*?,FROM AN INTESTATE
T000025,Give the English translation for the following Latin phrase *ab intra*?,FROM WITHIN
T000026,Give the English translation for the following Latin phrase *ab invito*?,AGAINST ONE'S WILL
T000027,Give the English translation for the following Latin phrase *ab irato*?,FROM/BY AN ANGRY PERSON
T000028,Give the English translation for the following Latin phrase *ab origine*?,FROM THE SOURCE
T000029,Give the English translation for the following Latin phrase *ab ovo*?,FROM THE EGG
T000030,Give the English translation for the following Latin phrase *absens haeres non erit*?,AN ABSENT PERSON WILL NOT BE AN HEIR
T000031,Give the English translation for the following Latin phrase *absente reo (abs. re.)*?,[WITH] THE DEFENDANT BEING ABSENT
T000032,Give the English translation for the following Latin phrase *absit iniuria*?,ABSENT FROM INJURY
T000033,Give the English translation for the following Latin phrase *absit invidia*?,ABSENT FROM ENVY
T000034,Give the English translation for the following Latin phrase *absit omen*?,ABSENT FROM OMEN
T000035,Give the English translation for the following Latin phrase *absolutum dominium*?,ABSOLUTE DOMINION
T000036,Give the English translation for the following Latin phrase *absolvo*?,I ABSOLVE
T000037,Give the English translation for the following Latin phrase *abundans cautela non nocet*?,ABUNDANT CAUTION DOES NO HARM
T000038,Give the English translation for the following Latin phrase *ab uno disce omnes*?,FROM ONE> LEARN ALL
T000039,Give the English translation for the following Latin phrase *ab urbe condita (AUC)*?,FROM THE FOUNDING OF THE CITY
T000040,Give the English translation for the following Latin phrase *abusus non tollit usum*?,MISUSE DOES NOT REMOVE USE
T000041,Give the English translation for the following Latin phrase *ab utili*?,FROM UTILITY
T000042,Give the English translation for the following Latin phrase *abyssus abyssum invocat*?,DEEP CALLETH UNTO DEEP
T000043,Give the English translation for the following Latin phrase *accipe hoc*?,TAKE THIS
T000044,Give the English translation for the following Latin phrase *accusare nemo se debet nisi coram Deo*?,NO ONE OUGHT TO ACCUSE HIMSELF EXCEPT IN THE PRESENCE OF GOD
T000045,Give the English translation for the following Latin phrase *acta deos numquam mortalia fallunt*?,MORTAL ACTIONS NEVER DECEIVE THE GODS
T000046,Give the English translation for the following Latin phrase *acta est fabula plaudite*?,THE PLAY HAS BEEN PERFORMED; APPLAUD!
T000047,Give the English translation for the following Latin phrase *acta non verba*?,DEEDS NOT WORDS
T000048,Give the English translation for the following Latin phrase *acta sanctorum*?,DEEDS OF THE SAINTS
T000049,Give the English translation for the following Latin phrase *actiones secundum fidei*?,ACTION FOLLOWS BELIEF
T000050,Give the English translation for the following Latin phrase *actore non probante reus absolvitur*?,A DEFENDANT IS EXONERATED BY THE FAILURE OF THE PROSECUTION TO PROVE ITS CASE
T000051,Give the English translation for the following Latin phrase *actus me invito factus non est meus actus*?,THE ACT DONE BY ME AGAINST MY WILL IS NOT MY ACT
T000052,Give the English translation for the following Latin phrase *actus non facit reum nisi mens sit rea*?,THE ACT DOES NOT MAKE [A PERSON] GUILTY UNLESS THE MIND SHOULD BE GUILTY.
T000053,Give the English translation for the following Latin phrase *actus reus*?,GUILTY ACT
T000054,Give the English translation for the following Latin phrase *ad absurdum*?,TO ABSURDITY
T000055,Give the English translation for the following Latin phrase *ad abundantiam*?,TO ABUNDANCE
T000056,Give the English translation for the following Latin phrase *ad acta*?,TO THE ARCHIVES
T000057,Give the English translation for the following Latin phrase *ad altiora tendo*?,I STRIVE TOWARDS HIGHER THINGS
T000058,Give the English translation for the following Latin phrase *ad arbitrium*?,AT WILL> AT PLEASURE
T000059,Give the English translation for the following Latin phrase *ad astra*?,TO THE STARS
T000060,Give the English translation for the following Latin phrase *ad astra per aspera*?,TO THE STARS THROUGH DIFFICULTIES
T000061,Give the English translation for the following Latin phrase *ad augusta per angusta*?,THROUGH DIFFICULTIES TO HONOURS
T000062,Give the English translation for the following Latin phrase *ad captandum vulgus*?,TO CAPTIVATE THE MOB
T000063,Give the English translation for the following Latin phrase *ad clerum*?,TO THE CLERGY
T000064,Give the English translation for the following Latin phrase *ad coelum*?,OR
T000065,Give the English translation for the following Latin phrase *a caelo usque ad centrum*?,FROM THE SKY TO THE CENTER
T000066,Give the English translation for the following Latin phrase *ad eundem*?,TO THE SAME
T000067,Give the English translation for the following Latin phrase *ad fontes*?,TO THE SOURCES
T000068,Give the English translation for the following Latin phrase *ad fundum*?,TO THE BOTTOM
T000069,Give the English translation for the following Latin phrase *ad hoc*?,TO THIS
T000070,Give the English translation for the following Latin phrase *ad hominem*?,TO/AT THE MAN
T000071,Give the English translation for the following Latin phrase *ad honorem*?,TO/FOR THE HONOUR
T000072,Give the English translation for the following Latin phrase *ad infinitum*?,TO INFINITY
T000073,Give the English translation for the following Latin phrase *ad interim (ad int.)*?,FOR THE MEANTIME
T000074,Give the English translation for the following Latin phrase *ad kalendas graecas*?,AT THE GREEK CALENDS
T000075,Give the English translation for the following Latin phrase *ad libitum (ad lib)*?,TOWARD PLEASURE
T000076,Give the English translation for the following Latin phrase *ad limina apostolorum*?,TO THE THRESHOLDS OF THE APOSTLES
T000077,Give the English translation for the following Latin phrase *ad litem*?,TO THE LAWSUIT
T000078,Give the English translation for the following Latin phrase *ad locum (ad loc.)*?,AT THE PLACE
T000079,Give the English translation for the following Latin phrase *ad lucem*?,TO THE LIGHT
T000080,Give the English translation for the following Latin phrase *ad maiorem Dei gloriam (AMDG)*?,FOR THE GREATER GLORY OF GOD
T000081,Give the English translation for the following Latin phrase *ad meliora*?,TOWARDS BETTER THINGS
T000082,Give the English translation for the following Latin phrase *ad mortem*?,TO/AT DEATH
T000083,Give the English translation for the following Latin phrase *ad multos annos*?,TO MANY YEARS
T000084,Give the English translation for the following Latin phrase *ad nauseam*?,TO SICKNESS
T000085,Give the English translation for the following Latin phrase *ad oculos*?,TO THE EYES
T000086,Give the English translation for the following Latin phrase *ad pedem litterae*?,TO THE FOOT OF THE LETTER
T000087,Give the English translation for the following Latin phrase *ad perpetuam memoriam*?,TO THE PERPETUAL MEMORY
T000088,Give the English translation for the following Latin phrase *ad pondus omnium (ad pond om)*?,TO THE WEIGHT OF ALL THINGS
T000089,Give the English translation for the following Latin phrase *ad quod damnum*?,TO WHATEVER DAMAGE
T000090,Give the English translation for the following Latin phrase *ad referendum (ad ref)*?,TO REFERENCE
T000091,Give the English translation for the following Latin phrase *ad rem*?,TO THE MATTER
T000092,Give the English translation for the following Latin phrase *adsumus*?,HERE WE ARE
T000093,Give the English translation for the following Latin phrase *ad susceptum perficiendum*?,IN ORDER TO ACHIEVE WHAT HAS BEEN UNDERTAKEN
T000094,Give the English translation for the following Latin phrase *ad terminum qui praeteriit*?,FOR THE TERM WHICH HAS PASSED
T000095,Give the English translation for the following Latin phrase *ad undas*?,TO THE WAVES
T000096,Give the English translation for the following Latin phrase *ad unum*?,TO ONE
T000097,Give the English translation for the following Latin phrase *ad usum Delphini*?,FOR THE USE OF THE DAUPHIN
T000098,Give the English translation for the following Latin phrase *ad usum proprium (ad us. propr.)*?,FOR ONE'S OWN USE
T000099,Give the English translation for the following Latin phrase *ad utrumque paratus*?,PREPARED FOR EITHER [ALTERNATIVE]
T000100,Give the English translation for the following Latin phrase *ad valorem*?,ACCORDING TO VALUE
T000101,Give the English translation for the following Latin phrase *ad victoriam*?,TO/FOR VICTORY
T000102,Give the English translation for the following Latin phrase *ad vitam aeternam*?,TO ETERNAL LIFE
T000103,Give the English translation for the following Latin phrase *ad vitam aut culpam*?,FOR LIFE OR UNTIL FAULT
T000104,Give the English translation for the following Latin phrase *addendum*?,THING TO BE ADDED
T000105,Give the English translation for the following Latin phrase *adaequatio rei et intellectus*?,CORRESPONDENCE OF MIND AND REALITY
T000106,Give the English translation for the following Latin phrase *adaequatio intellectus nostri cum re*?,CONFORMITY OF INTELLECT TO THE FACT
T000107,Give the English translation for the following Latin phrase *adsum*?,I AM HERE
T000108,Give the English translation for the following Latin phrase *adversus solem ne loquitor*?,DO NOT SPEAK AGAINST THE SUN
T000109,Give the English translation for the following Latin phrase *advocatus diaboli*?,DEVIL'S ADVOCATE
T000110,Give the English translation for the following Latin phrase *aegri somnia*?,A SICK MAN'S DREAMS
T000111,Give the English translation for the following Latin phrase *aes alienum*?,FOREIGN DEBT
T000112,Give the English translation for the following Latin phrase *aetatis suae (aetatis> aetat. or aet.)*?,OF HIS AGE OR AT THE AGE OF
T000113,Give the English translation for the following Latin phrase *affidavit*?,HE ASSERTED
T000114,Give the English translation for the following Latin phrase *age quod agis*?,DO WHAT YOU DO
T000115,Give the English translation for the following Latin phrase *agere sequitur (esse)*?,ACTION FOLLOWS BEING
T000116,Give the English translation for the following Latin phrase *Agnus Dei*?,LAMB OF GOD
T000117,Give the English translation for the following Latin phrase *alea iacta est*?,THE DIE HAS BEEN CAST
